cusip,maturity,datedDate,coupon,baseCpi,term
912810QF8,2040-02-15,2010-02-15,0.02125,216.1395,30-Year
912810QP6,2041-02-15,2011-02-15,0.02125,218.991,30-Year
912810QV3,2042-02-15,2012-02-15,0.0075,225.96062,30-Year
912810RA8,2043-02-15,2013-02-15,0.00625,229.911,30-Year
912810RF7,2044-02-15,2014-02-15,0.01375,233.059,30-Year
912810RL4,2045-02-15,2015-02-15,0.0075,235.4815,30-Year
912810RR1,2046-02-15,2016-02-15,0.01,236.94448,30-Year
912810RW0,2047-02-15,2017-02-15,0.00875,241.3925,30-Year
912810SB5,2048-02-15,2018-02-15,0.01,246.5965,30-Year
912810SG4,2049-02-15,2019-02-15,0.01,251.6355,30-Year
912810SM1,2050-02-15,2020-02-15,0.0025,257.09503,30-Year
912810SV1,2051-02-15,2021-02-15,0.00125,260.3515,30-Year
912810TE8,2052-02-15,2022-02-15,0.00125,278.375,30-Year
912810TP3,2053-02-15,2023-02-15,0.015,297.254,30-Year
912810TY4,2054-02-15,2024-02-15,0.02125,306.90376,30-Year
912810UH9,2055-02-15,2025-02-15,0.02375,315.549,30-Year
912810US5,2056-02-15,2026-02-15,0.02375,324.088,30-Year
